Data solution ID is 1635378410781933568 
Distance to 7627862074752 is 942699.916475136 AU 
Distance to 9277129363072 is 172204.582177349 AU 
Distance to 13297218905216 is 1143841.43470138 AU 
Distance to 13469017597184 is 1026405.32777085 AU 
Distance to 15736760328576 is 1212396.38242369 AU 
Distance to 16527034310784 is 1146887.04383437 AU 
Distance to 16733192740608 is 1200053.39313314 AU 
Distance to 16870631694208 is 1366508.17729992 AU 
Distance to 26834955821312 is 1218012.48699099 AU 
Distance to 33260226885120 is 1261320.95983318 AU 
Distance to 44358422235136 is 521389.436090447 AU 
Distance to 51745765982848 is 1358844.24301947 AU 
Distance to 82463372227072 is 1363504.12945357 AU 
Distance to 83150566993664 is 1313025.3967276 AU 
Distance to 86105504493056 is 425246.167233096 AU 
Distance to 92599494964480 is 1224669.21120837 AU 
Distance to 111600430360448 is 1134689.19503319 AU 
Distance to 115723598973952 is 1312829.7721474 AU 
Distance to 120190364960512 is 1253223.14374543 AU 
Distance to 122732985598464 is 997834.766038113 AU 
Distance to 132662949987200 is 1249149.09350492 AU 
Distance to 134999412195456 is 876030.720296546 AU 
Distance to 139363098967552 is 957080.642415172 AU 
Distance to 142730353190144 is 1327785.52244318 AU 
Distance to 148949465832832 is 973734.29802646 AU 
Distance to 180045029052928 is 387669.773406962 AU 
Distance to 189871914442624 is 360642.077495113 AU 
Distance to 202619377158912 is 327694.95316804 AU 
Distance to 219558728443008 is 586791.095490896 AU 
Distance to 223407019139328 is 1312775.60591905 AU 
Distance to 237185274221312 is 1116605.34150378 AU 
Distance to 250241974800256 is 1177888.71634834 AU 
Distance to 261752487149952 is 375695.095336559 AU 
Distance to 262439682250240 is 1060478.89363385 AU 
Distance to 279447752740096 is 713506.876531019 AU 
Distance to 308619170261760 is 1131025.6889292 AU 
Distance to 310337157179392 is 1533443.26120761 AU 
Distance to 320713798164992 is 1266350.61329652 AU 
Distance to 326005197873024 is 788138.694902909 AU 
Distance to 326829831593216 is 1349313.88677371 AU 
Distance to 332464828681984 is 813079.267604939 AU 
Distance to 347067717484672 is 1261630.35549278 AU 
Distance to 349369819955456 is 1199158.90189355 AU 
Distance to 379331511584000 is 1162560.7801611 AU 
Distance to 380190505042560 is 1021710.47437107 AU 
Distance to 383111082972928 is 948539.639147992 AU 
Distance to 383832637478528 is 731334.760065375 AU 
Distance to 386959373500544 is 1284809.18972221 AU 
Distance to 407781375177472 is 1079898.10170118 AU 
Distance to 419532406004608 is 936570.875141951 AU 
Distance to 435750201986944 is 1021689.49440298 AU 
Distance to 445233489772800 is 1126984.85850298 AU 
Distance to 445542727418880 is 655649.595207734 AU 
Distance to 450559249338752 is 1333159.53141971 AU 
Distance to 454510619249664 is 889390.098436372 AU 
Distance to 461142048768128 is 601089.94869987 AU 
Distance to 470797135247616 is 1378376.897097 AU 
Distance to 471759207921536 is 788725.489432069 AU 
Distance to 484541030591872 is 1342613.16079827 AU 
Distance to 502957850346880 is 830772.639541591 AU 
Distance to 503060929561600 is 1845559.81307143 AU 
Distance to 506222025490304 is 1300126.03198429 AU 
Distance to 544739292207744 is 531616.773263829 AU 
Distance to 550649167193728 is 1110774.16089552 AU 
Distance to 558998583615616 is 891775.172495864 AU 
Distance to 560647851057152 is 1160037.95050244 AU 
Distance to 582878602026496 is 300248.125967318 AU 
